Column1,0,1,2,3,4,Cluster
0,3.4,15.9832,-96.9505,25.8,0.0,1
1,3.5,16.6938,-95.1257,94.8,211.0,2
2,3.8,15.5425,-92.4787,187.6,2679.0,3
3,3.5,16.0508,-97.1588,26.3,2952.0,4
4,3.6,17.173,-94.979,121.0,3482.0,5
5,4.3,15.782,-94.9405,16.1,7140.0,2
6,3.6,17.3505,-94.5152,136.2,8449.0,6
7,3.7,16.3592,-93.7075,64.4,8628.0,7
8,3.6,16.2487,-95.7268,47.4,9368.0,2
9,4.0,15.2395,-96.6972,16.0,9565.0,8
10,3.6,15.7627,-95.5065,41.5,11426.0,9
11,3.5,15.729000000000001,-95.4693,37.9,16193.0,4
12,3.5,16.7268,-93.7705,148.9,17023.0,3
13,4.4,15.5892,-93.3158,100.3,26256.0,10
14,3.5,15.6448,-97.1558,5.0,27668.0,11
15,3.8,15.4118,-92.0867,176.6,27860.0,12
16,3.8,17.1762,-95.5993,104.0,33572.0,13
17,3.5,15.5083,-92.9417,93.0,41242.0,14
18,3.4,17.4882,-94.7602,124.5,51897.0,15
19,3.4,15.8245,-94.3948,63.7,54912.0,6
20,3.6,16.0108,-96.1248,75.8,56983.0,16
21,4.0,15.1607,-95.2662,24.8,67194.0,17
22,3.9,17.4532,-94.2973,171.5,68564.0,8
23,3.7,14.515,-93.1547,50.0,79215.0,18
24,3.9,18.2403,-94.586,37.6,86675.0,19
25,3.5,15.0235,-92.9062,93.7,90697.0,17
26,3.9,16.6765,-95.0468,90.9,94088.0,20
27,3.7,16.4922,-96.3337,60.3,95895.0,13
28,4.1,14.834000000000001,-92.5097,105.8,95927.0,21
29,3.4,16.9912,-94.2237,127.0,102148.0,8
30,3.8,15.0772,-93.5682,44.4,102797.0,15
31,3.7,15.8785,-94.9462,33.1,104098.0,10
32,3.5,16.9285,-94.874,115.4,106253.0,20
33,3.9,16.9325,-95.45700000000001,97.2,106501.0,22
34,3.7,16.406,-95.8575,52.8,115163.0,23
35,3.4,16.8495,-94.9653,112.7,115707.0,7
36,3.6,15.068,-96.65799999999999,14.9,116000.0,18
37,3.4,17.0887,-95.3655,101.8,129616.0,24
38,3.7,16.765,-95.1768,54.9,137688.0,12
39,3.6,15.8593,-93.5065,94.4,138885.0,25
40,4.1,17.589000000000002,-94.5665,159.4,144839.0,26
41,4.2,16.2428,-95.7743,69.5,150030.0,19
42,3.7,14.9825,-93.97399999999999,17.2,152817.0,16
43,3.2,16.0968,-97.1862,27.0,161483.0,9
44,3.7,17.6902,-94.7898,48.0,170614.0,27
45,3.9,16.054000000000002,-94.0123,96.4,173161.0,11
46,3.9,15.5337,-95.9895,3.3,174735.0,13
47,3.6,17.409000000000002,-94.47200000000001,156.6,184965.0,28
48,3.2,16.0562,-96.04,64.4,188326.0,7
49,3.6,15.5618,-95.0345,16.0,198628.0,8
50,3.9,14.9882,-93.0963,64.2,200896.0,18
51,3.8,15.0408,-94.1427,10.9,202212.0,29
52,4.0,14.0988,-92.9815,11.3,203503.0,4
53,3.7,15.5745,-93.2737,106.2,205827.0,20
54,4.1,18.32,-93.03200000000001,59.6,212247.0,10
55,3.6,16.2252,-95.0968,47.5,216461.0,16
56,3.9,14.8203,-93.11,18.8,218566.0,30
57,3.8,15.7675,-92.6333,173.3,221779.0,27
58,3.6,15.9733,-96.536,30.1,225068.0,19
59,3.5,16.0745,-95.5108,16.1,228335.0,2
60,3.6,15.5465,-95.7017,16.8,228480.0,7
61,3.8,17.0742,-94.4433,138.0,232964.0,25
62,3.9,15.172,-93.01799999999999,99.4,240785.0,23
63,3.7,15.0412,-92.8295,65.9,247105.0,6
64,4.5,15.6733,-95.6177,34.5,254012.0,14
65,4.0,16.4417,-93.6923,80.6,259545.0,9
66,4.0,15.062000000000001,-92.3217,137.9,262249.0,25
67,3.3,16.1042,-97.2118,34.9,263509.0,24
